# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 524.281 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       5.246581358777e+01 
       1.315582542307e-05       6.547353326045e+01 
       1.656220293823e-05       8.170614110546e+01 
       2.085057815424e-05       1.019630844425e+02 
       2.624932268897e-05       1.272419095308e+02 
       3.304593937553e-05       1.587873105560e+02 
       4.160237283646e-05       1.981521882413e+02 
       5.237428435475e-05       2.472736862521e+02 
       6.593531749873e-05       3.085677425336e+02 
       8.300764673387e-05       3.850463665743e+02 
       1.045004358465e-04       4.804625481271e+02 
       1.315582542307e-04       5.994884516537e+02 
       1.656220293823e-04       7.479325324544e+02 
       2.085057815424e-04       9.330005563688e+02 
       2.624932268897e-04       1.163602838072e+03 
       3.304593937553e-04       1.450704473346e+03 
       4.160237283646e-04       1.807705796074e+03 
       5.237428435475e-04       2.250827510190e+03 
       6.593531749873e-04       2.799460761676e+03 
       8.300764673387e-04       3.476419670521e+03 
       1.045004358465e-03       4.307959545367e+03 
       1.315582542307e-03       5.323257525979e+03 
       1.656220293823e-03       6.552808086047e+03 
       2.085057815424e-03       8.026080263661e+03 
       2.624932268897e-03       9.766613138689e+03 
       3.304593937553e-03       1.178519886834e+04 
       4.160237283646e-03       1.407060459392e+04 
       5.237428435475e-03       1.657688140755e+04 
       6.593531749873e-03       1.920783730659e+04 
       8.300764673387e-03       2.180282618202e+04 
       1.045004358465e-02       2.411710546144e+04 
       1.315582542307e-02       2.581280150864e+04 
       1.656220293821e-02       2.648041138344e+04 
       2.085057798724e-02       2.571351110238e+04 
       2.624919572676e-02       2.332482648816e+04 
       3.302838431025e-02       1.967665348074e+04 
       4.101870778203e-02       1.601952860126e+04 
       4.775836065426e-02       1.391715855142e+04 
       5.264561137662e-02       1.287834475534e+04 
       5.667534407708e-02       1.222705080555e+04 
       6.027307883754e-02       1.173323628821e+04 
       6.362844085636e-02       1.130114366378e+04 
       6.684176795926e-02       1.088197245009e+04 
       6.997321120589e-02       1.045063760394e+04 
       7.306227557334e-02       9.994765864623e+03 
       7.613679937064e-02       9.510260207750e+03 
       7.921754993795e-02       9.002452022412e+03 
       8.232077702863e-02       8.479925936016e+03 
       8.545972563109e-02       7.954892941060e+03 
       8.864557961545e-02       7.442130544786e+03 
       9.188807555534e-02       6.955848989359e+03 
       9.519591603890e-02       6.508790008878e+03 
       9.857705603011e-02       6.110814049986e+03 
       1.020389059898e-01       5.767750959973e+03 
       1.055884787182e-01       5.480856367356e+03 
       1.092324971067e-01       5.246312093057e+03 
       1.129774740828e-01       5.055833579443e+03 
       1.168297723661e-01       4.896941432340e+03 
       1.207956493173e-01       4.753965149315e+03 
       1.248812906505e-01       4.610086680729e+03 
       1.290928357791e-01       4.450372567298e+03 
       1.334363969073e-01       4.263448790991e+03 
       1.379180735365e-01       4.045881307307e+03 
       1.425439637635e-01       3.801963202814e+03 
       1.473201735546e-01       3.543836196975e+03 
       1.522528250549e-01       3.288230781962e+03 
       1.573480649123e-01       3.052379103481e+03 
       1.626120735448e-01       2.849808734973e+03 
       1.680510762517e-01       2.686880941627e+03 
       1.736713570449e-01       2.561281342357e+03 
       1.794792760670e-01       2.462137568264e+03 
       1.854812914541e-01       2.374133190310e+03 
       1.916839864933e-01       2.280326650387e+03 
       1.980941029324e-01       2.167596727892e+03 
       2.047185813096e-01       2.034192236289e+03 
       2.115646092052e-01       1.889639551129e+03 
       2.186396783743e-01       1.749094054596e+03 
       2.259516518178e-01       1.625967041185e+03 
       2.335088419960e-01       1.526954922404e+03 
       2.413201016074e-01       1.449871280314e+03 
       2.493949286578e-01       1.384152496956e+03 
       2.577435879657e-01       1.316592985856e+03 
       2.663772518135e-01       1.239564654141e+03 
       2.753081632066e-01       1.154519882361e+03 
       2.845498261976e-01       1.070447866881e+03 
